,Rank,Player,Team,Points,Points%,Season
0,1,Lionel Messi,Paris Saint-Germain,462,0.3138586956521739,2022-2023
1,2,Erling Haaland,Manchester City,357,0.2425271739130435,2022-2023
2,3,Kylian Mbappé,Paris Saint-Germain,270,0.18342391304347827,2022-2023
3,4,Kevin De Bruyne,Manchester City,100,0.06793478260869565,2022-2023
4,5,Rodri,Manchester City,57,0.03872282608695652,2022-2023
5,6,Vinícius Júnior,Real Madrid,49,0.03328804347826087,2022-2023
6,7,Julián Álvarez,Manchester City,28,0.019021739130434784,2022-2023
7,8,Victor Osimhen,Napoli,24,0.016304347826086956,2022-2023
8,9,Bernardo Silva,Manchester City,20,0.01358695652173913,2022-2023
9,10,Luka Modrić,Real Madrid,19,0.012907608695652174,2022-2023
10,1,Karim Benzema,Real Madrid,549,0.3689516129032258,2021-2022
11,2,Sadio Mané,Liverpool,193,0.1297043010752688,2021-2022
12,3,Kevin De Bruyne,Manchester City,175,0.11760752688172044,2021-2022
13,4,Robert Lewandowski,Bayern Munich,170,0.11424731182795698,2021-2022
14,5,Mohamed Salah,Liverpool,116,0.07795698924731183,2021-2022
15,6,Kylian Mbappé,Paris Saint-Germain,85,0.05712365591397849,2021-2022
16,7,Thibaut Courtois,Real Madrid,82,0.05510752688172043,2021-2022
17,8,Vinícius Júnior,Real Madrid,61,0.04099462365591398,2021-2022
18,9,Luka Modrić,Real Madrid,20,0.013440860215053764,2021-2022
19,10,Erling Haaland,Borussia Dortmund,18,0.012096774193548387,2021-2022
20,1,Lionel Messi,Barcelona  Paris Saint-Germain,613,0.22536764705882353,2020-2021
21,2,Robert Lewandowski,Bayern Munich,580,0.21323529411764705,2020-2021
22,3,Jorginho,Chelsea,460,0.16911764705882354,2020-2021
23,4,Karim Benzema,Real Madrid,239,0.08786764705882352,2020-2021
24,5,N'Golo Kanté,Chelsea,186,0.06838235294117648,2020-2021
25,6,Cristiano Ronaldo,Juventus  Manchester United,178,0.06544117647058824,2020-2021
26,7,Mohamed Salah,Liverpool,121,0.04448529411764706,2020-2021
27,8,Kevin De Bruyne,Manchester City,73,0.026838235294117645,2020-2021
28,9,Kylian Mbappé,Paris Saint-Germain,58,0.021323529411764706,2020-2021
29,10,Gianluigi Donnarumma,Milan  Paris Saint-Germain,36,0.013235294117647059,2020-2021
30,1,Lionel Messi,Barcelona,686,0.24360795454545456,2018-2019
31,2,Virgil van Dijk,Liverpool,679,0.2411221590909091,2018-2019
32,3,Cristiano Ronaldo,Juventus,476,0.1690340909090909,2018-2019
33,4,Sadio Mané,Liverpool,347,0.12322443181818182,2018-2019
34,5,Mohamed Salah,Liverpool,178,0.06321022727272728,2018-2019
35,6,Kylian Mbappé,Paris Saint-Germain,89,0.03160511363636364,2018-2019
36,7,Alisson,Liverpool,67,0.023792613636363636,2018-2019
37,8,Robert Lewandowski,Bayern Munich,44,0.015625,2018-2019
38,9,Bernardo Silva,Manchester City,41,0.01455965909090909,2018-2019
39,10,Riyad Mahrez,Manchester City,33,0.01171875,2018-2019
