,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Season,Competition
0,1,Paris S-G,38,27,4,7,89,40,49,85,2022-2023,Ligue 1
1,2,Lens,38,25,9,4,68,29,39,84,2022-2023,Ligue 1
2,3,Marseille,38,22,7,9,67,40,27,73,2022-2023,Ligue 1
3,4,Rennes,38,21,5,12,69,39,30,68,2022-2023,Ligue 1
4,5,Lille,38,19,10,9,65,44,21,67,2022-2023,Ligue 1
5,6,Monaco,38,19,8,11,70,58,12,65,2022-2023,Ligue 1
6,7,Lyon,38,18,8,12,65,47,18,62,2022-2023,Ligue 1
7,8,Clermont Foot,38,17,8,13,45,49,-4,59,2022-2023,Ligue 1
8,9,Nice,38,15,13,10,48,37,11,58,2022-2023,Ligue 1
9,10,Lorient,38,15,10,13,52,53,-1,55,2022-2023,Ligue 1
10,11,Reims,38,12,15,11,45,45,0,51,2022-2023,Ligue 1
11,12,Montpellier,38,15,5,18,65,62,3,50,2022-2023,Ligue 1
12,13,Toulouse,38,13,9,16,51,57,-6,48,2022-2023,Ligue 1
13,14,Brest,38,11,11,16,44,54,-10,44,2022-2023,Ligue 1
14,15,Strasbourg,38,9,13,16,51,59,-8,40,2022-2023,Ligue 1
15,16,Nantes,38,7,15,16,37,55,-18,36,2022-2023,Ligue 1
16,17,Auxerre,38,8,11,19,35,63,-28,35,2022-2023,Ligue 1
17,18,Ajaccio,38,7,5,26,23,74,-51,26,2022-2023,Ligue 1
18,19,Troyes,38,4,12,22,45,81,-36,24,2022-2023,Ligue 1
19,20,Angers,38,4,6,28,33,81,-48,18,2022-2023,Ligue 1
0,1,Paris S-G,38,26,8,4,90,36,54,86,2021-2022,Ligue 1
1,2,Marseille,38,21,8,9,63,38,25,71,2021-2022,Ligue 1
2,3,Monaco,38,20,9,9,65,40,25,69,2021-2022,Ligue 1
3,4,Rennes,38,20,6,12,82,40,42,66,2021-2022,Ligue 1
4,5,Nice,38,20,7,11,52,36,16,66,2021-2022,Ligue 1
5,6,Strasbourg,38,17,12,9,60,43,17,63,2021-2022,Ligue 1
6,7,Lens,38,17,11,10,62,48,14,62,2021-2022,Ligue 1
7,8,Lyon,38,17,11,10,66,51,15,61,2021-2022,Ligue 1
8,9,Nantes,38,15,10,13,55,48,7,55,2021-2022,Ligue 1
9,10,Lille,38,14,13,11,48,48,0,55,2021-2022,Ligue 1
10,11,Brest,38,13,9,16,49,57,-8,48,2021-2022,Ligue 1
11,12,Reims,38,11,13,14,43,44,-1,46,2021-2022,Ligue 1
12,13,Montpellier,38,12,7,19,49,61,-12,43,2021-2022,Ligue 1
13,14,Angers,38,10,11,17,44,55,-11,41,2021-2022,Ligue 1
14,15,Troyes,38,9,11,18,37,53,-16,38,2021-2022,Ligue 1
15,16,Lorient,38,8,12,18,35,63,-28,36,2021-2022,Ligue 1
16,17,Clermont Foot,38,9,9,20,38,69,-31,36,2021-2022,Ligue 1
17,18,Saint-Étienne,38,7,11,20,42,77,-35,32,2021-2022,Ligue 1
18,19,Metz,38,6,13,19,35,69,-34,31,2021-2022,Ligue 1
19,20,Bordeaux,38,6,13,19,52,91,-39,31,2021-2022,Ligue 1
0,1,Lille,38,24,11,3,64,23,41,83,2020-2021,Ligue 1
1,2,Paris S-G,38,26,4,8,86,28,58,82,2020-2021,Ligue 1
2,3,Monaco,38,24,6,8,76,42,34,78,2020-2021,Ligue 1
3,4,Lyon,38,22,10,6,81,43,38,76,2020-2021,Ligue 1
4,5,Marseille,38,16,12,10,54,47,7,60,2020-2021,Ligue 1
5,6,Rennes,38,16,10,12,52,40,12,58,2020-2021,Ligue 1
6,7,Lens,38,15,12,11,55,54,1,57,2020-2021,Ligue 1
7,8,Montpellier,38,14,12,12,60,62,-2,54,2020-2021,Ligue 1
8,9,Nice,38,15,7,16,50,53,-3,52,2020-2021,Ligue 1
9,10,Metz,38,12,11,15,44,48,-4,47,2020-2021,Ligue 1
10,11,Saint-Étienne,38,12,10,16,42,54,-12,46,2020-2021,Ligue 1
11,12,Bordeaux,38,13,6,19,42,56,-14,45,2020-2021,Ligue 1
12,13,Angers,38,12,8,18,40,58,-18,44,2020-2021,Ligue 1
13,14,Reims,38,9,15,14,42,50,-8,42,2020-2021,Ligue 1
14,15,Strasbourg,38,11,9,18,49,58,-9,42,2020-2021,Ligue 1
15,16,Lorient,38,11,9,18,50,68,-18,42,2020-2021,Ligue 1
16,17,Brest,38,11,8,19,50,66,-16,41,2020-2021,Ligue 1
17,18,Nantes,38,9,13,16,47,55,-8,40,2020-2021,Ligue 1
18,19,Nîmes,38,9,8,21,40,71,-31,35,2020-2021,Ligue 1
19,20,Dijon,38,4,9,25,25,73,-48,21,2020-2021,Ligue 1
0,1,Paris S-G,27,22,2,3,75,24,51,68,2019-2020,Ligue 1
1,2,Marseille,28,16,8,4,41,29,12,56,2019-2020,Ligue 1
2,3,Rennes,28,15,5,8,38,24,14,50,2019-2020,Ligue 1
3,4,Lille,28,15,4,9,35,27,8,49,2019-2020,Ligue 1
4,5,Nice,28,11,8,9,41,38,3,41,2019-2020,Ligue 1
5,6,Reims,28,10,11,7,26,21,5,41,2019-2020,Ligue 1
6,7,Lyon,28,11,7,10,42,27,15,40,2019-2020,Ligue 1
7,8,Montpellier,28,11,7,10,35,34,1,40,2019-2020,Ligue 1
8,9,Monaco,28,11,7,10,44,44,0,40,2019-2020,Ligue 1
9,10,Strasbourg,27,11,5,11,32,32,0,38,2019-2020,Ligue 1
10,11,Angers,28,11,6,11,28,33,-5,39,2019-2020,Ligue 1
11,12,Bordeaux,28,9,10,9,40,34,6,37,2019-2020,Ligue 1
12,13,Nantes,28,11,4,13,28,31,-3,37,2019-2020,Ligue 1
13,14,Brest,28,8,10,10,34,37,-3,34,2019-2020,Ligue 1
14,15,Metz,28,8,10,10,27,35,-8,34,2019-2020,Ligue 1
15,16,Dijon,28,7,9,12,27,37,-10,30,2019-2020,Ligue 1
16,17,Saint-Étienne,28,8,6,14,29,45,-16,30,2019-2020,Ligue 1
17,18,Nîmes,28,7,6,15,29,44,-15,27,2019-2020,Ligue 1
18,19,Amiens,28,4,11,13,31,50,-19,23,2019-2020,Ligue 1
19,20,Toulouse,28,3,4,21,22,58,-36,13,2019-2020,Ligue 1
0,1,Paris S-G,38,29,4,5,105,35,70,91,2018-2019,Ligue 1
1,2,Lille,38,22,9,7,68,33,35,75,2018-2019,Ligue 1
2,3,Lyon,38,21,9,8,70,47,23,72,2018-2019,Ligue 1
3,4,Saint-Étienne,38,19,9,10,59,41,18,66,2018-2019,Ligue 1
