,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Season,Competition
0,1,Napoli,38,28,6,4,77,28,49,90,2022-2023,Seria A
1,2,Lazio,38,22,8,8,60,30,30,74,2022-2023,Seria A
2,3,Inter,38,23,3,12,71,42,29,72,2022-2023,Seria A
3,4,Milan,38,20,10,8,64,43,21,70,2022-2023,Seria A
4,5,Atalanta,38,19,7,12,66,48,18,64,2022-2023,Seria A
5,6,Roma,38,18,9,11,50,38,12,63,2022-2023,Seria A
6,7,Juventus,38,22,6,10,56,33,23,62,2022-2023,Seria A
7,8,Fiorentina,38,15,11,12,53,43,10,56,2022-2023,Seria A
8,9,Bologna,38,14,12,12,53,49,4,54,2022-2023,Seria A
9,10,Torino,38,14,11,13,42,41,1,53,2022-2023,Seria A
10,11,Monza,38,14,10,14,48,52,-4,52,2022-2023,Seria A
11,12,Udinese,38,11,13,14,47,48,-1,46,2022-2023,Seria A
12,13,Sassuolo,38,12,9,17,47,61,-14,45,2022-2023,Seria A
13,14,Empoli,38,10,13,15,37,49,-12,43,2022-2023,Seria A
14,15,Salernitana,38,9,15,14,48,62,-14,42,2022-2023,Seria A
15,16,Lecce,38,8,12,18,33,46,-13,36,2022-2023,Seria A
16,17,Spezia,38,6,13,19,31,62,-31,31,2022-2023,Seria A
17,18,Hellas Verona,38,7,10,21,31,59,-28,31,2022-2023,Seria A
18,19,Cremonese,38,5,12,21,36,69,-33,27,2022-2023,Seria A
19,20,Sampdoria,38,3,10,25,24,71,-47,19,2022-2023,Seria A
0,1,Milan,38,26,8,4,69,31,38,86,2021-2022,Seria A
1,2,Inter,38,25,9,4,84,32,52,84,2021-2022,Seria A
2,3,Napoli,38,24,7,7,74,31,43,79,2021-2022,Seria A
3,4,Juventus,38,20,10,8,57,37,20,70,2021-2022,Seria A
4,5,Lazio,38,18,10,10,77,58,19,64,2021-2022,Seria A
5,6,Roma,38,18,9,11,59,43,16,63,2021-2022,Seria A
6,7,Fiorentina,38,19,5,14,59,51,8,62,2021-2022,Seria A
7,8,Atalanta,38,16,11,11,65,48,17,59,2021-2022,Seria A
8,9,Hellas Verona,38,14,11,13,65,59,6,53,2021-2022,Seria A
9,10,Torino,38,13,11,14,46,41,5,50,2021-2022,Seria A
10,11,Sassuolo,38,13,11,14,64,66,-2,50,2021-2022,Seria A
11,12,Udinese,38,11,14,13,61,58,3,47,2021-2022,Seria A
12,13,Bologna,38,12,10,16,44,55,-11,46,2021-2022,Seria A
13,14,Empoli,38,10,11,17,50,70,-20,41,2021-2022,Seria A
14,15,Sampdoria,38,10,6,22,46,63,-17,36,2021-2022,Seria A
15,16,Spezia,38,10,6,22,41,71,-30,36,2021-2022,Seria A
16,17,Salernitana,38,7,10,21,33,78,-45,31,2021-2022,Seria A
17,18,Cagliari,38,6,12,20,34,68,-34,30,2021-2022,Seria A
18,19,Genoa,38,4,16,18,27,60,-33,28,2021-2022,Seria A
19,20,Venezia,38,6,9,23,34,69,-35,27,2021-2022,Seria A
0,1,Inter,38,28,7,3,89,35,54,91,2020-2021,Seria A
1,2,Milan,38,24,7,7,74,41,33,79,2020-2021,Seria A
2,3,Atalanta,38,23,9,6,90,47,43,78,2020-2021,Seria A
3,4,Juventus,38,23,9,6,77,38,39,78,2020-2021,Seria A
4,5,Napoli,38,24,5,9,86,41,45,77,2020-2021,Seria A
5,6,Lazio,38,21,5,12,61,55,6,68,2020-2021,Seria A
6,7,Roma,38,18,8,12,68,58,10,62,2020-2021,Seria A
7,8,Sassuolo,38,17,11,10,64,56,8,62,2020-2021,Seria A
8,9,Sampdoria,38,15,7,16,52,54,-2,52,2020-2021,Seria A
9,10,Hellas Verona,38,11,12,15,46,48,-2,45,2020-2021,Seria A
10,11,Genoa,38,10,12,16,47,58,-11,42,2020-2021,Seria A
11,12,Bologna,38,10,11,17,51,65,-14,41,2020-2021,Seria A
12,13,Fiorentina,38,9,13,16,47,59,-12,40,2020-2021,Seria A
13,14,Udinese,38,10,10,18,42,58,-16,40,2020-2021,Seria A
14,15,Spezia,38,9,12,17,52,72,-20,39,2020-2021,Seria A
15,16,Cagliari,38,9,10,19,43,59,-16,37,2020-2021,Seria A
16,17,Torino,38,7,16,15,50,69,-19,37,2020-2021,Seria A
17,18,Benevento,38,7,12,19,40,75,-35,33,2020-2021,Seria A
18,19,Crotone,38,6,5,27,45,92,-47,23,2020-2021,Seria A
19,20,Parma,38,3,11,24,39,83,-44,20,2020-2021,Seria A
0,1,Juventus,38,26,5,7,76,43,33,83,2019-2020,Seria A
1,2,Inter,38,24,10,4,81,36,45,82,2019-2020,Seria A
2,3,Atalanta,38,23,9,6,98,48,50,78,2019-2020,Seria A
3,4,Lazio,38,24,6,8,79,42,37,78,2019-2020,Seria A
4,5,Roma,38,21,7,10,77,51,26,70,2019-2020,Seria A
5,6,Milan,38,19,9,10,63,46,17,66,2019-2020,Seria A
6,7,Napoli,38,18,8,12,61,50,11,62,2019-2020,Seria A
7,8,Sassuolo,38,14,9,15,69,63,6,51,2019-2020,Seria A
8,9,Hellas Verona,38,12,13,13,47,51,-4,49,2019-2020,Seria A
9,10,Fiorentina,38,12,13,13,51,48,3,49,2019-2020,Seria A
10,11,Parma,38,14,7,17,56,57,-1,49,2019-2020,Seria A
11,12,Bologna,38,12,11,15,52,65,-13,47,2019-2020,Seria A
12,13,Udinese,38,12,9,17,37,51,-14,45,2019-2020,Seria A
13,14,Cagliari,38,11,12,15,52,56,-4,45,2019-2020,Seria A
14,15,Sampdoria,38,12,6,20,48,65,-17,42,2019-2020,Seria A
15,16,Torino,38,11,7,20,46,68,-22,40,2019-2020,Seria A
16,17,Genoa,38,10,9,19,47,73,-26,39,2019-2020,Seria A
17,18,Lecce,38,9,8,21,52,85,-33,35,2019-2020,Seria A
18,19,Brescia,38,6,7,25,35,79,-44,25,2019-2020,Seria A
19,20,SPAL,38,5,5,28,27,77,-50,20,2019-2020,Seria A
0,1,Juventus,38,28,6,4,70,30,40,90,2018-2019,Seria A
1,2,Napoli,38,24,7,7,74,36,38,79,2018-2019,Seria A
2,3,Atalanta,38,20,9,9,77,46,31,69,2018-2019,Seria A
3,4,Inter,38,20,9,9,57,33,24,69,2018-2019,Seria A
4,5,Milan,38,19,11,8,55,36,19,68,2018-2019,Seria A
5,6,Roma,38,18,12,8,66,48,18,66,2018-2019,Seria A
6,7,Torino,38,16,15,7,52,37,15,63,2018-2019,Seria A
7,8,Lazio,38,17,8,13,56,46,10,59,2018-2019,Seria A
8,9,Sampdoria,38,15,8,15,60,51,9,53,2018-2019,Seria A
9,10,Bologna,38,11,11,16,48,56,-8,44,2018-2019,Seria A
10,11,Sassuolo,38,9,16,13,53,60,-7,43,2018-2019,Seria A
11,12,Udinese,38,11,10,17,39,53,-14,43,2018-2019,Seria A
12,13,SPAL,38,11,9,18,44,56,-12,42,2018-2019,Seria A
13,14,Parma,38,10,11,17,41,61,-20,41,2018-2019,Seria A
14,15,Cagliari,38,10,11,17,36,54,-18,41,2018-2019,Seria A
15,16,Fiorentina,38,8,17,13,47,45,2,41,2018-2019,Seria A
16,17,Genoa,38,8,14,16,39,57,-18,38,2018-2019,Seria A
17,18,Empoli,38,10,8,20,51,70,-19,38,2018-2019,Seria A
18,19,Frosinone,38,5,10,23,29,69,-40,25,2018-2019,Seria A
19,20,Chievo,38,2,14,22,25,75,-50,17,2018-2019,Seria A
