,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,GA,SoTA,Saves,Save%,Save%,CS,CS%,Sh,SoT,SoT%,G/Sh,Dist,Cmp,Cmp,Cmp,Cmp,Att,Att,Att,Att,Cmp%,Cmp%,Cmp%,Cmp%,TotDist,PrgDist,xA,Tkl,Tkl,TklW,Tkl%,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Season,Team,Competition
0,Gianluigi Donnarumma,it ITA,GK,23.0,38,38,3409.0,37.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,40.0,160.0,120.0,76.3,33.3,13.0,34.2,0.0,0.0,,,,811.0,259.0,413.0,126.0,935.0,260.0,420.0,241.0,86.7,99.6,98.3,52.3,16498.0,10725.0,0.0,1.0,1.0,0.0,50.0,0.0,1.0,12.0,4.0,7.0,1.0,87.5,2022-2023,Paris Saint Germain,Ligue 1
1,Lionel Messi,ar ARG,"FW,MF",35.0,32,32,2837.0,31.5,16.0,16.0,32.0,16.0,0.0,0.0,0.0,0.0,15.5,15.5,13.4,28.9,114.0,300.0,220.0,0.51,0.51,1.02,0.51,1.02,0.49,0.43,0.92,0.49,0.92,Matches,,,,,,,,129.0,55.0,42.6,0.12,18.3,1641.0,908.0,495.0,154.0,2050.0,1034.0,597.0,235.0,80.0,87.8,82.9,65.5,25475.0,8767.0,16.2,26.0,11.0,18.0,40.7,2.0,28.0,0.0,0.0,1.0,3.0,25.0,2022-2023,Paris Saint Germain,Ligue 1
2,Kylian Mbappé,fr FRA,FW,23.0,34,32,2818.0,31.3,29.0,5.0,34.0,26.0,3.0,5.0,6.0,0.0,26.3,22.2,7.4,29.5,165.0,128.0,468.0,0.93,0.16,1.09,0.83,0.99,0.84,0.23,1.07,0.71,0.94,Matches,,,,,,,,144.0,73.0,50.7,0.18,15.9,1096.0,677.0,299.0,42.0,1355.0,789.0,371.0,65.0,80.9,85.8,80.6,64.6,14622.0,3137.0,9.4,10.0,5.0,4.0,31.3,5.0,15.0,6.0,0.0,8.0,5.0,61.5,2022-2023,Paris Saint Germain,Ligue 1
3,Sergio Ramos,es ESP,DF,36.0,33,31,2704.0,30.0,2.0,1.0,3.0,2.0,0.0,0.0,3.0,1.0,1.7,1.7,0.2,1.9,15.0,163.0,10.0,0.07,0.03,0.1,0.07,0.1,0.06,0.01,0.06,0.06,0.06,Matches,,,,,,,,19.0,7.0,36.8,0.11,14.6,2394.0,815.0,1231.0,283.0,2535.0,860.0,1263.0,327.0,94.4,94.8,97.5,86.5,46077.0,15119.0,0.8,34.0,23.0,26.0,52.3,34.0,68.0,93.0,3.0,55.0,34.0,61.8,2022-2023,Paris Saint Germain,Ligue 1
4,Marquinhos,br BRA,DF,28.0,33,30,2717.0,30.2,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,2.1,2.1,0.5,2.6,4.0,99.0,15.0,0.07,0.0,0.07,0.07,0.07,0.07,0.02,0.09,0.07,0.09,Matches,,,,,,,,18.0,4.0,22.2,0.11,9.2,2068.0,835.0,1045.0,136.0,2175.0,864.0,1077.0,164.0,95.1,96.6,97.0,82.9,35716.0,12062.0,1.3,33.0,18.0,25.0,69.2,23.0,56.0,83.0,2.0,35.0,27.0,56.5,2022-2023,Paris Saint Germain,Ligue 1
5,Vitinha,pt POR,MF,22.0,36,29,2446.0,27.2,2.0,3.0,5.0,2.0,0.0,0.0,3.0,0.0,3.0,3.0,3.0,6.1,50.0,137.0,94.0,0.07,0.11,0.18,0.07,0.18,0.11,0.11,0.22,0.11,0.22,Matches,,,,,,,,31.0,11.0,35.5,0.06,20.5,1786.0,960.0,613.0,95.0,1945.0,1018.0,657.0,113.0,91.8,94.3,93.3,84.1,26148.0,5772.0,3.4,58.0,27.0,25.0,32.5,25.0,83.0,15.0,0.0,5.0,4.0,55.6,2022-2023,Paris Saint Germain,Ligue 1
6,Danilo Pereira,pt POR,"DF,MF",30.0,33,27,2410.0,26.8,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,2.3,2.3,0.5,2.8,26.0,154.0,11.0,0.07,0.0,0.07,0.07,0.07,0.09,0.02,0.1,0.09,0.1,Matches,,,,,,,,22.0,5.0,22.7,0.09,12.7,1950.0,909.0,859.0,136.0,2068.0,946.0,899.0,164.0,94.3,96.1,95.6,82.9,32419.0,10970.0,0.9,32.0,19.0,17.0,73.1,36.0,68.0,59.0,1.0,34.0,22.0,60.7,2022-2023,Paris Saint Germain,Ligue 1
7,Marco Verratti,it ITA,MF,29.0,29,27,2194.0,24.4,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.8,0.8,2.5,3.3,40.0,262.0,52.0,0.0,0.0,0.0,0.0,0.0,0.03,0.1,0.14,0.03,0.14,Matches,,,,,,,,8.0,4.0,50.0,0.0,17.8,2383.0,1265.0,848.0,153.0,2573.0,1333.0,896.0,195.0,92.6,94.9,94.6,78.5,36470.0,12516.0,4.9,76.0,38.0,49.0,42.7,27.0,103.0,11.0,3.0,11.0,13.0,45.8,2022-2023,Paris Saint Germain,Ligue 1
8,Achraf Hakimi,ma MAR,"DF,MF",23.0,28,23,2053.0,22.8,5.0,3.0,8.0,5.0,0.0,0.0,7.0,2.0,3.8,3.8,3.0,6.8,85.0,99.0,229.0,0.22,0.13,0.35,0.22,0.35,0.17,0.13,0.3,0.17,0.3,Matches,,,,,,,,18.0,9.0,50.0,0.28,14.9,1373.0,875.0,378.0,28.0,1538.0,952.0,416.0,40.0,89.3,91.9,90.9,70.0,17560.0,4800.0,5.3,54.0,31.0,34.0,52.5,16.0,70.0,19.0,0.0,7.0,7.0,50.0,2022-2023,Paris Saint Germain,Ligue 1
9,Fabián Ruiz Peña,es ESP,MF,26.0,27,21,1892.0,21.0,3.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,2.8,2.8,2.1,4.9,32.0,128.0,86.0,0.14,0.1,0.24,0.14,0.24,0.13,0.1,0.23,0.13,0.23,Matches,,,,,,,,26.0,9.0,34.6,0.12,18.2,1614.0,876.0,556.0,96.0,1763.0,929.0,596.0,124.0,91.5,94.3,93.3,77.4,24039.0,6080.0,2.9,62.0,43.0,28.0,54.4,18.0,80.0,23.0,1.0,5.0,7.0,41.7,2022-2023,Paris Saint Germain,Ligue 1
10,Juan Bernat,es ESP,"DF,MF",29.0,28,18,1648.0,18.3,1.0,4.0,5.0,1.0,0.0,0.0,1.0,0.0,0.9,0.9,3.1,3.9,24.0,38.0,143.0,0.05,0.22,0.27,0.05,0.27,0.05,0.17,0.21,0.05,0.21,Matches,,,,,,,,7.0,6.0,85.7,0.14,11.4,969.0,585.0,316.0,23.0,1049.0,626.0,337.0,29.0,92.4,93.5,93.8,79.3,13422.0,3011.0,3.0,32.0,21.0,16.0,53.8,9.0,41.0,22.0,1.0,6.0,10.0,37.5,2022-2023,Paris Saint Germain,Ligue 1
11,Nuno Mendes,pt POR,DF,20.0,23,18,1548.0,17.2,1.0,6.0,7.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,2.8,3.9,51.0,77.0,195.0,0.06,0.35,0.41,0.06,0.41,0.06,0.17,0.23,0.06,0.23,Matches,,,,,,,,10.0,7.0,70.0,0.1,13.7,793.0,450.0,266.0,30.0,932.0,500.0,303.0,43.0,85.1,90.0,87.8,69.8,11300.0,3442.0,3.6,45.0,30.0,30.0,73.2,17.0,62.0,18.0,0.0,10.0,6.0,62.5,2022-2023,Paris Saint Germain,Ligue 1
