,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,GA,SoTA,Saves,Save%,Save%,CS,CS%,Sh,SoT,SoT%,G/Sh,Dist,Cmp,Cmp,Cmp,Cmp,Att,Att,Att,Att,Cmp%,Cmp%,Cmp%,Cmp%,TotDist,PrgDist,xA,Tkl,Tkl,TklW,Tkl%,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Season,Team,Competition
0,Gianluigi Donnarumma,it ITA,GK,23,48,48,4309.0,47.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,52.0,204.0,154.0,76.5,20.0,14.0,29.2,0.0,0.0,,,,1009.0,331.0,511.0,152.0,1174.0,332.0,519.0,306.0,85.9,99.7,98.5,49.7,20394.0,13090.0,0.0,1.0,1.0,0.0,50.0,0.0,1.0,19.0,5.0,7.0,1.0,87.5,2022-2023,Paris Saint Germain,Ligue 1
1,Sergio Ramos,es ESP,DF,36,45,42,3695.0,41.1,4.0,1.0,4.0,4.0,0.0,0.0,5.0,1.0,2.0,2.0,0.2,2.2,18.0,187.0,14.0,0.1,0.02,0.1,0.1,0.1,0.05,0.0,0.06,0.05,0.06,Matches,,,,,,,,28.0,12.0,42.9,0.14,14.7,2905.0,1026.0,1446.0,345.0,3085.0,1078.0,1494.0,401.0,94.2,95.2,96.8,86.0,55393.0,17959.0,0.9,43.0,30.0,33.0,54.5,47.0,88.0,118.0,3.0,72.0,45.0,61.5,2022-2023,Paris Saint Germain,Ligue 1
2,Marquinhos,br BRA,DF,28,44,41,3640.0,40.4,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,2.2,2.2,0.6,2.8,5.0,116.0,15.0,0.05,0.0,0.05,0.05,0.05,0.06,0.02,0.07,0.06,0.07,Matches,,,,,,,,21.0,5.0,23.8,0.1,9.1,2447.0,1000.0,1220.0,161.0,2584.0,1037.0,1260.0,200.0,94.7,96.4,96.8,80.5,41956.0,14185.0,1.4,38.0,22.0,31.0,66.7,28.0,64.0,103.0,2.0,49.0,35.0,58.3,2022-2023,Paris Saint Germain,Ligue 1
3,Lionel Messi,ar ARG,"FW,MF",35,41,41,3630.0,40.3,21.0,20.0,40.0,21.0,0.0,0.0,0.0,0.0,18.1,18.1,15.6,33.7,139.0,353.0,248.0,0.52,0.51,1.02,0.52,1.02,0.47,0.41,0.88,0.47,0.88,Matches,,,,,,,,160.0,66.0,41.3,0.13,18.4,1993.0,1132.0,587.0,168.0,2463.0,1275.0,707.0,262.0,80.9,88.8,83.0,64.1,30197.0,10353.0,18.1,30.0,11.0,23.0,36.7,5.0,35.0,0.0,0.0,2.0,3.0,40.0,2022-2023,Paris Saint Germain,Ligue 1
4,Kylian Mbappé,fr FRA,FW,23,43,40,3559.0,39.5,41.0,9.0,50.0,37.0,4.0,6.0,6.0,0.0,29.9,25.0,8.4,33.4,210.0,160.0,561.0,1.04,0.23,1.26,0.94,1.16,0.78,0.22,0.99,0.65,0.87,Matches,,,,,,,,169.0,87.0,51.5,0.22,15.9,1307.0,817.0,347.0,51.0,1635.0,958.0,438.0,79.0,79.9,85.3,79.2,64.6,17283.0,3676.0,10.7,10.0,5.0,4.0,29.4,5.0,15.0,9.0,0.0,9.0,7.0,56.3,2022-2023,Paris Saint Germain,Ligue 1
5,Vitinha,pt POR,MF,22,48,40,3339.0,37.1,2.0,4.0,6.0,2.0,0.0,0.0,4.0,0.0,3.6,3.6,3.2,6.8,61.0,172.0,110.0,0.05,0.11,0.17,0.05,0.17,0.11,0.1,0.2,0.11,0.2,Matches,,,,,,,,37.0,13.0,35.1,0.05,20.8,2184.0,1185.0,731.0,120.0,2381.0,1259.0,781.0,144.0,91.7,94.1,93.6,83.3,31909.0,7165.0,3.8,66.0,28.0,37.0,29.8,41.0,104.0,16.0,0.0,7.0,7.0,50.0,2022-2023,Paris Saint Germain,Ligue 1
6,Danilo Pereira,pt POR,"DF,MF",30,44,34,3036.0,33.7,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,2.4,2.4,0.5,2.8,29.0,173.0,12.0,0.06,0.03,0.09,0.06,0.09,0.07,0.01,0.09,0.07,0.09,Matches,,,,,,,,23.0,6.0,26.1,0.09,12.7,2267.0,1060.0,983.0,164.0,2407.0,1105.0,1030.0,195.0,94.2,95.9,95.4,84.1,37657.0,12570.0,1.1,42.0,26.0,24.0,76.5,43.0,84.0,71.0,1.0,39.0,27.0,59.1,2022-2023,Paris Saint Germain,Ligue 1
7,Marco Verratti,it ITA,MF,29,38,36,2969.0,33.0,0.0,1.0,1.0,0.0,0.0,0.0,14.0,1.0,0.9,0.9,3.0,3.8,52.0,307.0,64.0,0.0,0.03,0.03,0.0,0.03,0.03,0.09,0.12,0.03,0.12,Matches,,,,,,,,10.0,4.0,40.0,0.0,19.3,3022.0,1618.0,1042.0,198.0,3263.0,1702.0,1106.0,247.0,92.6,95.1,94.2,80.2,45632.0,15410.0,5.7,103.0,47.0,71.0,40.2,35.0,136.0,11.0,5.0,16.0,15.0,51.6,2022-2023,Paris Saint Germain,Ligue 1
8,Achraf Hakimi,ma MAR,"DF,MF",23,39,32,2833.0,31.5,5.0,5.0,10.0,5.0,0.0,0.0,8.0,2.0,4.3,4.3,3.4,7.7,103.0,118.0,292.0,0.16,0.16,0.33,0.16,0.33,0.15,0.12,0.26,0.15,0.26,Matches,,,,,,,,23.0,12.0,52.2,0.22,15.1,1705.0,1079.0,475.0,37.0,1916.0,1175.0,523.0,53.0,89.0,91.8,90.8,69.8,21975.0,5937.0,5.6,63.0,34.0,44.0,47.9,26.0,87.0,26.0,0.0,11.0,10.0,52.4,2022-2023,Paris Saint Germain,Ligue 1
9,Neymar,br BRA,"MF,FW",30,29,27,2354.0,26.2,18.0,14.0,30.0,15.0,3.0,3.0,11.0,1.0,10.2,8.6,10.4,19.0,106.0,218.0,158.0,0.69,0.56,1.19,0.57,1.11,0.44,0.45,0.89,0.37,0.82,Matches,,,,,,,,57.0,26.0,45.6,0.26,17.5,1331.0,749.0,391.0,91.0,1654.0,865.0,470.0,159.0,80.5,86.6,83.2,57.2,19179.0,6941.0,8.8,25.0,11.0,15.0,40.7,7.0,31.0,3.0,1.0,1.0,6.0,14.3,2022-2023,Paris Saint Germain,Ligue 1
