,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,Penalty_Kicks_Made,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG.1,GA,SoTA,Saves,Save%,PK_Save%,CS,CS%,Sh,SoT,SoT%,G/Sh,Dist,Cmp,Att,Cmp%,TotDist,PrgDist,xA,Tkl,Challenges_Tkl,TklW,Tkl%,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Season,Team,Competition
0,Joshua Kimmich,de GER,MF,27.0,33,32,2809.0,31.2,5.0,6.0,11.0,4.0,1.0,1.0,6.0,1.0,2.2,1.4,7.0,0.05,,,,,,,,27.0,11.0,40.7,0.15,26.0,2333.0,2767.0,84.3,43859.0,14050.0,9.0,78.0,38.0,49.0,52.8,41.0,119.0,39.0,2.0,16.0,32.0,33.3,2022-2023,Bayern Munich,Bundesliga
1,Benjamin Pavard,fr FRA,DF,26.0,30,27,2431.0,27.0,4.0,1.0,5.0,4.0,0.0,0.0,6.0,0.0,2.5,2.5,2.4,0.09,,,,,,,,34.0,12.0,35.3,0.12,18.3,2120.0,2400.0,88.3,37520.0,14296.0,3.9,70.0,36.0,41.0,75.0,44.0,114.0,83.0,0.0,64.0,33.0,66.0,2022-2023,Bayern Munich,Bundesliga
2,Matthijs de Ligt,nl NED,DF,22.0,31,27,2403.0,26.7,3.0,1.0,4.0,3.0,0.0,0.0,4.0,0.0,1.1,1.1,0.5,0.04,,,,,,,,23.0,8.0,34.8,0.13,16.0,1902.0,2088.0,91.1,36626.0,12291.0,0.8,32.0,15.0,23.0,62.5,23.0,55.0,85.0,0.0,96.0,64.0,60.0,2022-2023,Bayern Munich,Bundesliga
3,Dayot Upamecano,fr FRA,DF,23.0,29,27,2348.0,26.1,0.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,0.7,0.7,0.3,0.03,,,,,,,,7.0,1.0,14.3,0.0,9.0,2101.0,2318.0,90.6,42619.0,15514.0,1.0,65.0,28.0,37.0,62.2,27.0,92.0,71.0,4.0,47.0,47.0,50.0,2022-2023,Bayern Munich,Bundesliga
4,Jamal Musiala,de GER,"MF,FW",19.0,33,26,2198.0,24.4,12.0,10.0,22.0,12.0,0.0,0.0,1.0,0.0,8.0,8.0,6.6,0.33,,,,,,,,66.0,25.0,37.9,0.18,15.8,857.0,1018.0,84.2,12410.0,2603.0,5.4,34.0,13.0,23.0,37.1,19.0,53.0,3.0,0.0,12.0,12.0,50.0,2022-2023,Bayern Munich,Bundesliga
5,Alphonso Davies,ca CAN,DF,21.0,26,24,2042.0,22.7,1.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,1.7,1.7,3.7,0.07,,,,,,,,19.0,8.0,42.1,0.05,18.6,1361.0,1567.0,86.9,21727.0,5882.0,4.3,45.0,18.0,28.0,46.2,24.0,69.0,24.0,4.0,6.0,6.0,50.0,2022-2023,Bayern Munich,Bundesliga
6,Serge Gnabry,de GER,"FW,MF",27.0,34,22,1941.0,21.6,14.0,5.0,19.0,13.0,1.0,1.0,0.0,0.0,11.2,10.4,5.3,0.48,,,,,,,,81.0,40.0,49.4,0.16,15.5,693.0,873.0,79.4,9720.0,2515.0,4.8,35.0,17.0,23.0,39.5,11.0,46.0,5.0,1.0,11.0,19.0,36.7,2022-2023,Bayern Munich,Bundesliga
7,Leon Goretzka,de GER,MF,27.0,27,22,1728.0,19.2,3.0,2.0,5.0,3.0,0.0,0.0,5.0,0.0,4.7,4.7,2.3,0.25,,,,,,,,40.0,13.0,32.5,0.08,17.2,826.0,1012.0,81.6,12312.0,3833.0,2.5,43.0,27.0,24.0,56.3,30.0,73.0,32.0,0.0,46.0,23.0,66.7,2022-2023,Bayern Munich,Bundesliga
8,Thomas Müller,de GER,"FW,MF",32.0,27,21,1665.0,18.5,7.0,8.0,15.0,7.0,0.0,0.0,0.0,0.0,8.9,8.9,6.6,0.48,,,,,,,,47.0,23.0,48.9,0.15,12.5,621.0,831.0,74.7,8689.0,2465.0,7.1,21.0,6.0,12.0,37.5,4.0,25.0,16.0,0.0,39.0,24.0,61.9,2022-2023,Bayern Munich,Bundesliga
9,Leroy Sané,de GER,"MF,FW",26.0,32,20,2010.0,22.3,8.0,7.0,15.0,8.0,0.0,0.0,4.0,0.0,8.5,8.5,4.3,0.38,,,,,,,,78.0,29.0,37.2,0.1,19.7,880.0,1078.0,81.6,12202.0,3032.0,5.1,38.0,18.0,30.0,50.0,3.0,41.0,1.0,2.0,6.0,7.0,46.2,2022-2023,Bayern Munich,Bundesliga
