,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,Penalty_Kicks_Made,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG.1,GA,SoTA,Saves,Save%,PK_Save%,CS,CS%,Sh,SoT,SoT%,G/Sh,Dist,Cmp,Att,Cmp%,TotDist,PrgDist,xA,Tkl,Challenges_Tkl,TklW,Tkl%,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Season,Team,Competition
0,Marc-André ter Stegen,de GER,GK,30.0,50,50,4457.0,49.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,39.0,151.0,117.0,76.8,0.0,28.0,58.3,0.0,0.0,,,,1424.0,1663.0,85.6,36561.0,25412.0,0.0,0.0,0.0,0.0,,1.0,1.0,7.0,3.0,7.0,1.0,87.5,2022-2023,Barcelona,La Liga
1,Robert Lewandowski,pl POL,FW,33.0,46,45,3948.0,43.9,33.0,8.0,41.0,32.0,1.0,2.0,5.0,1.0,28.4,26.8,7.1,0.7,,,,,,,,177.0,76.0,42.9,0.18,14.1,715.0,960.0,74.5,9786.0,2015.0,7.2,24.0,10.0,18.0,58.8,4.0,28.0,23.0,0.0,65.0,56.0,53.7,2022-2023,Barcelona,La Liga
2,Gavi,es ESP,MF,17.0,49,40,3510.0,39.0,3.0,7.0,10.0,3.0,0.0,0.0,15.0,0.0,3.2,3.2,4.4,0.1,,,,,,,,34.0,9.0,26.5,0.09,17.1,1199.0,1417.0,84.6,16890.0,3440.0,4.4,58.0,25.0,48.0,39.1,27.0,82.0,24.0,0.0,47.0,40.0,54.0,2022-2023,Barcelona,La Liga
3,Jules Koundé,fr FRA,DF,23.0,40,39,3452.0,38.4,1.0,6.0,7.0,1.0,0.0,0.0,2.0,0.0,1.4,1.4,2.9,0.04,,,,,,,,17.0,2.0,11.8,0.06,13.9,2066.0,2364.0,87.4,34803.0,11786.0,2.6,47.0,31.0,27.0,66.0,32.0,71.0,68.0,3.0,53.0,32.0,62.4,2022-2023,Barcelona,La Liga
4,Frenkie de Jong,nl NED,MF,25.0,43,37,3279.0,36.4,2.0,4.0,6.0,2.0,0.0,0.0,3.0,0.0,2.4,2.4,4.7,0.07,,,,,,,,21.0,11.0,52.4,0.1,17.8,2318.0,2589.0,89.5,36948.0,11474.0,6.8,54.0,20.0,37.0,43.5,44.0,92.0,26.0,1.0,40.0,17.0,70.2,2022-2023,Barcelona,La Liga
5,Sergio Busquets,es ESP,MF,34.0,42,38,3274.0,36.4,0.0,4.0,4.0,0.0,0.0,0.0,13.0,1.0,0.7,0.7,2.8,0.02,,,,,,,,11.0,2.0,18.2,0.0,21.7,1900.0,2166.0,87.7,33558.0,9846.0,3.9,71.0,37.0,48.0,58.7,46.0,106.0,41.0,3.0,61.0,62.0,49.6,2022-2023,Barcelona,La Liga
6,Alejandro Balde,es ESP,DF,18.0,44,36,3119.0,34.7,1.0,6.0,7.0,1.0,0.0,0.0,5.0,0.0,1.9,1.9,4.9,0.06,,,,,,,,26.0,5.0,19.2,0.04,18.6,1645.0,1867.0,88.1,23932.0,4907.0,5.6,44.0,26.0,32.0,57.8,14.0,57.0,18.0,1.0,19.0,22.0,46.3,2022-2023,Barcelona,La Liga
7,Raphinha,br BRA,FW,25.0,50,35,2909.0,32.3,10.0,11.0,21.0,10.0,0.0,0.0,11.0,0.0,10.0,10.0,11.0,0.36,,,,,,,,107.0,33.0,30.8,0.09,19.5,1085.0,1514.0,71.7,18622.0,4814.0,10.6,42.0,16.0,34.0,38.1,26.0,62.0,14.0,1.0,15.0,11.0,57.7,2022-2023,Barcelona,La Liga
8,Pedri,es ESP,"MF,FW",19.0,35,31,2702.0,30.0,7.0,1.0,8.0,7.0,0.0,0.0,3.0,0.0,5.9,5.9,5.8,0.22,,,,,,,,33.0,14.0,42.4,0.21,15.2,1518.0,1757.0,86.4,27250.0,6003.0,6.0,46.0,15.0,26.0,28.3,18.0,64.0,9.0,2.0,4.0,5.0,44.4,2022-2023,Barcelona,La Liga
9,Ronald Araújo,uy URU,DF,23.0,31,30,2595.0,28.8,1.0,2.0,3.0,1.0,0.0,0.0,7.0,1.0,2.2,2.2,0.9,0.09,,,,,,,,25.0,3.0,12.0,0.04,13.5,1255.0,1428.0,87.9,24171.0,8386.0,0.8,29.0,7.0,29.0,70.0,16.0,41.0,44.0,1.0,49.0,33.0,59.8,2022-2023,Barcelona,La Liga
10,Andreas Christensen,dk DEN,DF,26.0,32,28,2330.0,25.9,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,1.1,1.1,0.6,0.05,,,,,,,,14.0,6.0,42.9,0.07,11.9,1696.0,1810.0,93.7,31394.0,10501.0,1.0,27.0,11.0,18.0,64.7,26.0,51.0,52.0,0.0,48.0,21.0,69.6,2022-2023,Barcelona,La Liga
11,Ousmane Dembélé,fr FRA,FW,25.0,35,25,2149.0,23.9,8.0,9.0,17.0,8.0,0.0,0.0,5.0,0.0,5.0,5.0,6.4,0.25,,,,,,,,74.0,28.0,37.8,0.11,17.3,818.0,1113.0,73.5,13218.0,2910.0,6.9,30.0,8.0,20.0,40.0,2.0,32.0,2.0,0.0,6.0,13.0,31.6,2022-2023,Barcelona,La Liga
12,Marcos Alonso,es ESP,DF,31.0,37,20,1958.0,21.8,3.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,2.1,2.1,1.2,0.12,,,,,,,,11.0,4.0,36.4,0.27,13.1,1323.0,1479.0,89.5,23758.0,8183.0,1.9,20.0,12.0,15.0,66.7,21.0,38.0,51.0,0.0,35.0,15.0,70.0,2022-2023,Barcelona,La Liga
13,Jordi Alba,es ESP,DF,33.0,30,20,1919.0,21.3,2.0,6.0,8.0,2.0,0.0,0.0,7.0,1.0,0.8,0.8,7.0,0.05,,,,,,,,15.0,5.0,33.3,0.13,22.4,1416.0,1693.0,83.6,22074.0,6508.0,7.8,26.0,12.0,25.0,41.4,17.0,39.0,27.0,0.0,8.0,15.0,34.8,2022-2023,Barcelona,La Liga
14,Ferrán Torres,es ESP,"FW,MF",22.0,45,18,1901.0,21.1,7.0,3.0,10.0,7.0,0.0,1.0,7.0,1.0,6.3,5.5,4.4,0.31,,,,,,,,49.0,16.0,32.7,0.14,15.1,511.0,667.0,76.6,7848.0,1674.0,4.6,16.0,6.0,10.0,27.3,4.0,19.0,6.0,0.0,12.0,10.0,54.5,2022-2023,Barcelona,La Liga
15,Sergi Roberto,es ESP,DF,30.0,33,22,1878.0,20.9,4.0,3.0,7.0,4.0,0.0,0.0,7.0,0.0,2.5,2.5,1.9,0.14,,,,,,,,24.0,9.0,37.5,0.17,16.4,1074.0,1189.0,90.3,15561.0,3511.0,2.1,28.0,10.0,18.0,45.5,17.0,43.0,17.0,0.0,9.0,17.0,34.6,2022-2023,Barcelona,La Liga
16,Ansu Fati,es ESP,FW,19.0,51,14,1848.0,20.5,10.0,4.0,14.0,10.0,0.0,0.0,4.0,0.0,10.1,10.1,1.8,0.54,,,,,,,,90.0,29.0,32.2,0.11,15.6,609.0,731.0,83.3,7730.0,1249.0,2.6,17.0,5.0,11.0,26.3,6.0,22.0,6.0,0.0,10.0,21.0,32.3,2022-2023,Barcelona,La Liga
17,Eric García,es ESP,DF,21.0,32,18,1823.0,20.3,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,1.6,1.6,0.3,0.09,,,,,,,,7.0,1.0,14.3,0.14,12.9,1325.0,1447.0,91.6,25060.0,8567.0,0.9,28.0,11.0,18.0,47.8,24.0,51.0,41.0,1.0,24.0,17.0,58.5,2022-2023,Barcelona,La Liga
18,Franck Kessié,ci CIV,MF,25.0,43,16,1816.0,20.2,3.0,3.0,6.0,3.0,0.0,0.0,5.0,0.0,2.2,2.2,1.0,0.14,,,,,,,,31.0,11.0,35.5,0.1,15.2,618.0,718.0,86.1,9387.0,1845.0,1.2,24.0,10.0,16.0,47.6,15.0,38.0,11.0,2.0,13.0,13.0,50.0,2022-2023,Barcelona,La Liga
19,Gerard Piqué,es ESP,DF,35.0,10,6,642.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.4,0.4,0.0,0.05,,,,,,,,4.0,1.0,25.0,0.0,15.2,577.0,627.0,92.0,11755.0,3843.0,0.2,8.0,5.0,6.0,83.3,5.0,13.0,27.0,0.0,28.0,10.0,73.7,2022-2023,Barcelona,La Liga
20,Héctor Bellerín,es ESP,DF,27.0,7,5,495.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.02,,,,,,,,1.0,1.0,100.0,0.0,19.8,156.0,194.0,80.4,2290.0,812.0,0.6,6.0,4.0,8.0,66.7,6.0,10.0,3.0,0.0,3.0,7.0,30.0,2022-2023,Barcelona,La Liga
21,Iñaki Peña,es ESP,GK,23.0,5,3,373.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,17.0,10.0,64.7,0.0,1.0,33.3,0.0,0.0,,,,62.0,66.0,93.9,1316.0,894.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,,2022-2023,Barcelona,La Liga
22,Pablo Torre,es ESP,"MF,FW",19.0,13,4,343.0,3.8,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.4,0.4,0.5,0.16,,,,,,,,4.0,1.0,25.0,0.25,20.4,147.0,176.0,83.5,2017.0,478.0,0.5,4.0,2.0,4.0,50.0,3.0,7.0,1.0,1.0,1.0,4.0,20.0,2022-2023,Barcelona,La Liga
23,Memphis,nl NED,FW,28.0,4,3,203.0,2.3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9,0.9,0.1,0.6,,,,,,,,7.0,3.0,42.9,0.14,11.6,67.0,82.0,81.7,956.0,267.0,0.3,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,33.3,2022-2023,Barcelona,La Liga
24,Ángel Alarcón,es ESP,FW,18.0,5,0,36.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,1.0,1.0,100.0,0.0,,,,,,,,,,0.0,,0.0,0.0,,,,,,2022-2023,Barcelona,La Liga
25,Marc Casado,es ESP,MF,18.0,1,0,24.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,,26.0,29.0,89.7,425.0,83.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,1.0,0.0,100.0,2022-2023,Barcelona,La Liga
26,Alvaro Sanz,es ESP,MF,21.0,1,0,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,,10.0,12.0,83.3,117.0,23.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2022-2023,Barcelona,La Liga
27,Pierre-Emerick Aubameyang,ga GAB,FW,33.0,1,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,1.18,,,,,,,,1.0,0.0,0.0,0.0,12.4,3.0,3.0,100.0,59.0,26.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2022-2023,Barcelona,La Liga
28,Lamine Yamal,es ESP,FW,15.0,1,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,3.94,,,,,,,,1.0,1.0,100.0,0.0,10.9,8.0,9.0,88.9,112.0,47.0,0.3,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2022-2023,Barcelona,La Liga
29,Aleix Garrido,es ESP,FW,18.0,1,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,,2.0,3.0,66.7,21.0,8.0,0.0,2.0,1.0,1.0,100.0,0.0,2.0,0.0,0.0,0.0,0.0,,2022-2023,Barcelona,La Liga
30,Chadi Riad,ma MAR,MF,19.0,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,,1.0,1.0,100.0,7.0,5.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2022-2023,Barcelona,La Liga
31,Arnau Tenas,es ESP,GK,21.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Barcelona,La Liga
32,Miralem Pjanić,ba BIH,MF,32.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Barcelona,La Liga
33,Ander Astralaga,es ESP,GK,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Barcelona,La Liga
34,Unai Hernandez,es ESP,MF,17.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Barcelona,La Liga
35,Daniel Rodriguez,es ESP,MF,16.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Barcelona,La Liga
36,Estanis,es ESP,FW,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Barcelona,La Liga
37,Ilias Akhomach,ma MAR,MF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Barcelona,La Liga
38,Marc Guiu,es ESP,FW,16.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Barcelona,La Liga
39,Pau Prim,es ESP,MF,16.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Barcelona,La Liga
40,Álex Valle,es ESP,DF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Barcelona,La Liga
0,Vinicius Júnior,br BRA,FW,22.0,53,51,4564.0,50.7,20.0,19.0,39.0,20.0,0.0,0.0,16.0,1.0,17.0,17.0,12.1,0.4,,,,,,,,129.0,60.0,46.5,0.16,15.3,1216.0,1585.0,76.7,15936.0,3285.0,11.5,40.0,18.0,36.0,35.3,8.0,47.0,2.0,0.0,3.0,8.0,27.3,2022-2023,Real Madrid,La Liga
1,Thibaut Courtois,be BEL,GK,30.0,49,49,4470.0,49.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4,0.0,49.0,200.0,149.0,77.5,33.3,17.0,36.2,0.0,0.0,,,,1274.0,1507.0,84.5,30184.0,19361.0,0.0,2.0,1.0,1.0,33.3,3.0,5.0,10.0,2.0,13.0,0.0,100.0,2022-2023,Real Madrid,La Liga
2,Éder Militão,br BRA,DF,24.0,51,48,4228.0,47.0,7.0,0.0,7.0,7.0,0.0,0.0,9.0,0.0,2.9,2.9,0.6,0.07,,,,,,,,32.0,11.0,34.4,0.22,15.2,2082.0,2370.0,87.8,39400.0,13305.0,0.9,56.0,34.0,45.0,73.9,63.0,107.0,141.0,2.0,77.0,41.0,65.3,2022-2023,Real Madrid,La Liga
3,Federico Valverde,uy URU,"MF,FW",24.0,54,48,4211.0,46.8,9.0,7.0,16.0,9.0,0.0,0.0,6.0,0.0,5.9,5.9,9.3,0.15,,,,,,,,98.0,31.0,31.6,0.09,22.6,1928.0,2217.0,87.0,28325.0,6046.0,7.5,49.0,22.0,35.0,47.8,35.0,80.0,28.0,0.0,38.0,16.0,70.4,2022-2023,Real Madrid,La Liga
4,Rodrygo,br BRA,FW,21.0,55,40,3725.0,41.4,18.0,10.0,28.0,15.0,3.0,3.0,4.0,0.0,18.2,16.0,8.5,0.45,,,,,,,,132.0,46.0,34.8,0.11,16.3,1230.0,1416.0,86.9,14090.0,2772.0,7.9,24.0,7.0,17.0,22.6,19.0,41.0,11.0,0.0,19.0,31.0,38.0,2022-2023,Real Madrid,La Liga
5,Antonio Rüdiger,de GER,DF,29.0,51,37,3676.0,40.8,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.1,2.1,0.5,0.06,,,,,,,,33.0,5.0,15.2,0.06,15.9,1854.0,2019.0,91.8,33318.0,11071.0,1.1,28.0,20.0,26.0,69.0,29.0,53.0,100.0,0.0,47.0,27.0,63.5,2022-2023,Real Madrid,La Liga
6,Toni Kroos,de GER,MF,32.0,50,43,3644.0,40.5,2.0,6.0,8.0,2.0,0.0,0.0,4.0,1.0,1.7,1.7,5.4,0.05,,,,,,,,45.0,15.0,33.3,0.04,25.9,3086.0,3391.0,91.0,56701.0,20614.0,6.7,77.0,34.0,57.0,39.1,36.0,110.0,13.0,0.0,9.0,6.0,60.0,2022-2023,Real Madrid,La Liga
7,Karim Benzema,fr FRA,FW,34.0,42,41,3560.0,39.6,30.0,5.0,35.0,21.0,9.0,10.0,1.0,0.0,26.6,20.0,7.6,0.65,,,,,,,,159.0,66.0,41.5,0.13,15.6,1192.0,1385.0,86.1,14181.0,3060.0,7.3,11.0,2.0,9.0,16.7,2.0,13.0,13.0,0.0,17.0,23.0,42.5,2022-2023,Real Madrid,La Liga
8,Eduardo Camavinga,fr FRA,"MF,DF",19.0,57,37,3406.0,37.8,0.0,2.0,2.0,0.0,0.0,0.0,13.0,0.0,1.0,1.0,2.0,0.03,,,,,,,,26.0,4.0,15.4,0.0,22.5,1772.0,1974.0,89.8,27694.0,7371.0,2.4,94.0,35.0,87.0,36.5,29.0,117.0,36.0,0.0,25.0,14.0,64.1,2022-2023,Real Madrid,La Liga
9,Dani Carvajal,es ESP,DF,30.0,44,35,3131.0,34.8,0.0,4.0,4.0,0.0,0.0,0.0,12.0,1.0,0.9,0.9,3.7,0.03,,,,,,,,15.0,0.0,0.0,0.0,17.6,1669.0,1957.0,85.3,26658.0,5866.0,4.0,50.0,28.0,35.0,51.9,25.0,72.0,69.0,0.0,16.0,16.0,50.0,2022-2023,Real Madrid,La Liga
10,Luka Modrić,hr CRO,MF,36.0,50,33,2990.0,33.2,6.0,6.0,12.0,4.0,2.0,2.0,7.0,0.0,5.5,3.9,5.6,0.14,,,,,,,,41.0,7.0,17.1,0.1,20.4,1862.0,2119.0,87.9,28735.0,8775.0,6.1,23.0,12.0,17.0,40.0,22.0,40.0,14.0,0.0,17.0,18.0,48.6,2022-2023,Real Madrid,La Liga
11,David Alaba,at AUT,DF,30.0,37,33,2819.0,31.3,2.0,3.0,5.0,2.0,0.0,0.0,4.0,0.0,1.1,1.1,1.7,0.04,,,,,,,,21.0,6.0,28.6,0.1,20.9,1456.0,1665.0,87.4,21346.0,7518.0,2.7,23.0,14.0,16.0,51.9,23.0,44.0,49.0,1.0,13.0,16.0,44.8,2022-2023,Real Madrid,La Liga
12,Aurélien Tchouaméni,fr FRA,MF,22.0,48,31,2691.0,29.9,0.0,4.0,4.0,0.0,0.0,0.0,3.0,0.0,2.2,2.2,2.2,0.08,,,,,,,,47.0,8.0,17.0,0.0,21.2,1927.0,2075.0,92.9,30664.0,9543.0,2.3,74.0,28.0,48.0,65.1,59.0,130.0,53.0,0.0,54.0,29.0,65.1,2022-2023,Real Madrid,La Liga
13,Nacho,es ESP,DF,32.0,42,27,2578.0,28.6,1.0,1.0,2.0,1.0,0.0,0.0,9.0,0.0,0.8,0.8,1.0,0.03,,,,,,,,14.0,5.0,35.7,0.07,15.6,1371.0,1498.0,91.5,20937.0,7377.0,0.8,33.0,16.0,27.0,39.0,45.0,68.0,53.0,0.0,43.0,24.0,64.2,2022-2023,Real Madrid,La Liga
14,Ferland Mendy,fr FRA,DF,27.0,28,25,2058.0,22.9,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.3,0.3,0.9,0.02,,,,,,,,3.0,1.0,33.3,0.0,16.4,1083.0,1166.0,92.9,15033.0,3733.0,0.9,24.0,15.0,17.0,65.2,18.0,41.0,20.0,0.0,8.0,8.0,50.0,2022-2023,Real Madrid,La Liga
15,Marco Asensio,es ESP,"FW,MF",26.0,50,18,2004.0,22.3,12.0,8.0,20.0,12.0,0.0,1.0,1.0,0.0,7.3,6.5,6.6,0.33,,,,,,,,77.0,35.0,45.5,0.16,21.0,827.0,1006.0,82.2,12345.0,2725.0,5.9,17.0,9.0,10.0,42.9,11.0,27.0,7.0,0.0,4.0,3.0,57.1,2022-2023,Real Madrid,La Liga
16,Dani Ceballos,es ESP,MF,25.0,44,20,1905.0,21.2,1.0,7.0,8.0,1.0,0.0,0.0,9.0,0.0,1.1,1.1,2.4,0.06,,,,,,,,24.0,9.0,37.5,0.04,20.3,1441.0,1591.0,90.6,22391.0,6910.0,2.0,47.0,26.0,33.0,40.0,32.0,72.0,6.0,1.0,4.0,8.0,33.3,2022-2023,Real Madrid,La Liga
17,Lucas Vázquez,es ESP,DF,31.0,30,16,1503.0,16.7,4.0,2.0,6.0,4.0,0.0,0.0,3.0,0.0,1.9,1.9,2.3,0.13,,,,,,,,14.0,7.0,50.0,0.29,18.5,953.0,1095.0,87.0,14398.0,3070.0,4.0,38.0,20.0,27.0,62.5,11.0,48.0,17.0,0.0,1.0,5.0,16.7,2022-2023,Real Madrid,La Liga
18,Andriy Lunin,ua UKR,GK,23.0,10,10,900.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,24.0,16.0,62.5,,4.0,40.0,0.0,0.0,,,,246.0,270.0,91.1,5362.0,3412.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,1.0,0.0,100.0,2022-2023,Real Madrid,La Liga
