,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,Penalty_Kicks_Made,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG.1,GA,SoTA,Saves,Save%,PK_Save%,CS,CS%,Sh,SoT,SoT%,G/Sh,Dist,Cmp,Att,Cmp%,TotDist,PrgDist,xA,Tkl,Challenges_Tkl,TklW,Tkl%,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Season,Team,Competition
0,Gianluigi Donnarumma,it ITA,GK,23,48,48,4309.0,47.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,52.0,204.0,154.0,76.5,20.0,14.0,29.2,0.0,0.0,,,,1009.0,1174.0,85.9,20394.0,13090.0,0.0,1.0,1.0,0.0,50.0,0.0,1.0,19.0,5.0,7.0,1.0,87.5,2022-2023,Paris Saint Germain,Ligue 1
1,Sergio Ramos,es ESP,DF,36,45,42,3695.0,41.1,4.0,1.0,4.0,4.0,0.0,0.0,5.0,1.0,2.0,2.0,0.2,0.05,,,,,,,,28.0,12.0,42.9,0.14,14.7,2905.0,3085.0,94.2,55393.0,17959.0,0.9,43.0,30.0,33.0,54.5,47.0,88.0,118.0,3.0,72.0,45.0,61.5,2022-2023,Paris Saint Germain,Ligue 1
2,Marquinhos,br BRA,DF,28,44,41,3640.0,40.4,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,2.2,2.2,0.6,0.06,,,,,,,,21.0,5.0,23.8,0.1,9.1,2447.0,2584.0,94.7,41956.0,14185.0,1.4,38.0,22.0,31.0,66.7,28.0,64.0,103.0,2.0,49.0,35.0,58.3,2022-2023,Paris Saint Germain,Ligue 1
3,Lionel Messi,ar ARG,"FW,MF",35,41,41,3630.0,40.3,21.0,20.0,40.0,21.0,0.0,0.0,0.0,0.0,18.1,18.1,15.6,0.47,,,,,,,,160.0,66.0,41.3,0.13,18.4,1993.0,2463.0,80.9,30197.0,10353.0,18.1,30.0,11.0,23.0,36.7,5.0,35.0,0.0,0.0,2.0,3.0,40.0,2022-2023,Paris Saint Germain,Ligue 1
4,Kylian Mbappé,fr FRA,FW,23,43,40,3559.0,39.5,41.0,9.0,50.0,37.0,4.0,6.0,6.0,0.0,29.9,25.0,8.4,0.65,,,,,,,,169.0,87.0,51.5,0.22,15.9,1307.0,1635.0,79.9,17283.0,3676.0,10.7,10.0,5.0,4.0,29.4,5.0,15.0,9.0,0.0,9.0,7.0,56.3,2022-2023,Paris Saint Germain,Ligue 1
5,Vitinha,pt POR,MF,22,48,40,3339.0,37.1,2.0,4.0,6.0,2.0,0.0,0.0,4.0,0.0,3.6,3.6,3.2,0.11,,,,,,,,37.0,13.0,35.1,0.05,20.8,2184.0,2381.0,91.7,31909.0,7165.0,3.8,66.0,28.0,37.0,29.8,41.0,104.0,16.0,0.0,7.0,7.0,50.0,2022-2023,Paris Saint Germain,Ligue 1
6,Danilo Pereira,pt POR,"DF,MF",30,44,34,3036.0,33.7,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,2.4,2.4,0.5,0.07,,,,,,,,23.0,6.0,26.1,0.09,12.7,2267.0,2407.0,94.2,37657.0,12570.0,1.1,42.0,26.0,24.0,76.5,43.0,84.0,71.0,1.0,39.0,27.0,59.1,2022-2023,Paris Saint Germain,Ligue 1
7,Marco Verratti,it ITA,MF,29,38,36,2969.0,33.0,0.0,1.0,1.0,0.0,0.0,0.0,14.0,1.0,0.9,0.9,3.0,0.03,,,,,,,,10.0,4.0,40.0,0.0,19.3,3022.0,3263.0,92.6,45632.0,15410.0,5.7,103.0,47.0,71.0,40.2,35.0,136.0,11.0,5.0,16.0,15.0,51.6,2022-2023,Paris Saint Germain,Ligue 1
8,Achraf Hakimi,ma MAR,"DF,MF",23,39,32,2833.0,31.5,5.0,5.0,10.0,5.0,0.0,0.0,8.0,2.0,4.3,4.3,3.4,0.15,,,,,,,,23.0,12.0,52.2,0.22,15.1,1705.0,1916.0,89.0,21975.0,5937.0,5.6,63.0,34.0,44.0,47.9,26.0,87.0,26.0,0.0,11.0,10.0,52.4,2022-2023,Paris Saint Germain,Ligue 1
9,Neymar,br BRA,"MF,FW",30,29,27,2354.0,26.2,18.0,14.0,30.0,15.0,3.0,3.0,11.0,1.0,10.2,8.6,10.4,0.37,,,,,,,,57.0,26.0,45.6,0.26,17.5,1331.0,1654.0,80.5,19179.0,6941.0,8.8,25.0,11.0,15.0,40.7,7.0,31.0,3.0,1.0,1.0,6.0,14.3,2022-2023,Paris Saint Germain,Ligue 1
10,Fabián Ruiz Peña,es ESP,MF,26,37,25,2279.0,25.3,3.0,3.0,6.0,3.0,0.0,0.0,1.0,0.0,3.1,3.1,2.4,0.13,,,,,,,,32.0,10.0,31.3,0.09,18.2,1800.0,1972.0,91.3,26557.0,6887.0,3.3,67.0,46.0,31.0,52.3,21.0,86.0,27.0,1.0,7.0,11.0,38.9,2022-2023,Paris Saint Germain,Ligue 1
