,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,Penalty_Kicks_Made,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG.1,GA,SoTA,Saves,Save%,PK_Save%,CS,CS%,Sh,SoT,SoT%,G/Sh,Dist,Cmp,Att,Cmp%,TotDist,PrgDist,xA,Tkl,Challenges_Tkl,TklW,Tkl%,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Season,Team,Competition
0,Gianluigi Donnarumma,it ITA,GK,23.0,38,38,3409.0,37.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,40.0,160.0,120.0,76.3,33.3,13.0,34.2,0.0,0.0,,,,811.0,935.0,86.7,16498.0,10725.0,0.0,1.0,1.0,0.0,50.0,0.0,1.0,12.0,4.0,7.0,1.0,87.5,2022-2023,Paris Saint Germain,Ligue 1
1,Lionel Messi,ar ARG,"FW,MF",35.0,32,32,2837.0,31.5,16.0,16.0,32.0,16.0,0.0,0.0,0.0,0.0,15.5,15.5,13.4,0.49,,,,,,,,129.0,55.0,42.6,0.12,18.3,1641.0,2050.0,80.0,25475.0,8767.0,16.2,26.0,11.0,18.0,40.7,2.0,28.0,0.0,0.0,1.0,3.0,25.0,2022-2023,Paris Saint Germain,Ligue 1
2,Kylian Mbappé,fr FRA,FW,23.0,34,32,2818.0,31.3,29.0,5.0,34.0,26.0,3.0,5.0,6.0,0.0,26.3,22.2,7.4,0.71,,,,,,,,144.0,73.0,50.7,0.18,15.9,1096.0,1355.0,80.9,14622.0,3137.0,9.4,10.0,5.0,4.0,31.3,5.0,15.0,6.0,0.0,8.0,5.0,61.5,2022-2023,Paris Saint Germain,Ligue 1
3,Sergio Ramos,es ESP,DF,36.0,33,31,2704.0,30.0,2.0,1.0,3.0,2.0,0.0,0.0,3.0,1.0,1.7,1.7,0.2,0.06,,,,,,,,19.0,7.0,36.8,0.11,14.6,2394.0,2535.0,94.4,46077.0,15119.0,0.8,34.0,23.0,26.0,52.3,34.0,68.0,93.0,3.0,55.0,34.0,61.8,2022-2023,Paris Saint Germain,Ligue 1
4,Marquinhos,br BRA,DF,28.0,33,30,2717.0,30.2,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,2.1,2.1,0.5,0.07,,,,,,,,18.0,4.0,22.2,0.11,9.2,2068.0,2175.0,95.1,35716.0,12062.0,1.3,33.0,18.0,25.0,69.2,23.0,56.0,83.0,2.0,35.0,27.0,56.5,2022-2023,Paris Saint Germain,Ligue 1
5,Vitinha,pt POR,MF,22.0,36,29,2446.0,27.2,2.0,3.0,5.0,2.0,0.0,0.0,3.0,0.0,3.0,3.0,3.0,0.11,,,,,,,,31.0,11.0,35.5,0.06,20.5,1786.0,1945.0,91.8,26148.0,5772.0,3.4,58.0,27.0,25.0,32.5,25.0,83.0,15.0,0.0,5.0,4.0,55.6,2022-2023,Paris Saint Germain,Ligue 1
6,Danilo Pereira,pt POR,"DF,MF",30.0,33,27,2410.0,26.8,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,2.3,2.3,0.5,0.09,,,,,,,,22.0,5.0,22.7,0.09,12.7,1950.0,2068.0,94.3,32419.0,10970.0,0.9,32.0,19.0,17.0,73.1,36.0,68.0,59.0,1.0,34.0,22.0,60.7,2022-2023,Paris Saint Germain,Ligue 1
7,Marco Verratti,it ITA,MF,29.0,29,27,2194.0,24.4,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.8,0.8,2.5,0.03,,,,,,,,8.0,4.0,50.0,0.0,17.8,2383.0,2573.0,92.6,36470.0,12516.0,4.9,76.0,38.0,49.0,42.7,27.0,103.0,11.0,3.0,11.0,13.0,45.8,2022-2023,Paris Saint Germain,Ligue 1
8,Achraf Hakimi,ma MAR,"DF,MF",23.0,28,23,2053.0,22.8,5.0,3.0,8.0,5.0,0.0,0.0,7.0,2.0,3.8,3.8,3.0,0.17,,,,,,,,18.0,9.0,50.0,0.28,14.9,1373.0,1538.0,89.3,17560.0,4800.0,5.3,54.0,31.0,34.0,52.5,16.0,70.0,19.0,0.0,7.0,7.0,50.0,2022-2023,Paris Saint Germain,Ligue 1
9,Fabián Ruiz Peña,es ESP,MF,26.0,27,21,1892.0,21.0,3.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,2.8,2.8,2.1,0.13,,,,,,,,26.0,9.0,34.6,0.12,18.2,1614.0,1763.0,91.5,24039.0,6080.0,2.9,62.0,43.0,28.0,54.4,18.0,80.0,23.0,1.0,5.0,7.0,41.7,2022-2023,Paris Saint Germain,Ligue 1
