,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,Penalty_Kicks_Made,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG.1,GA,SoTA,Saves,Save%,PK_Save%,CS,CS%,Sh,SoT,SoT%,G/Sh,Dist,Cmp,Att,Cmp%,TotDist,PrgDist,xA,Tkl,Challenges_Tkl,TklW,Tkl%,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Season,Team,Competition
0,Giovanni Di Lorenzo,it ITA,DF,28,47,46,4145.0,46.1,5.0,6.0,11.0,5.0,0.0,0.0,4.0,0.0,3.8,3.7,7.3,0.08,,,,,,,,44.0,18.0,40.9,0.11,12.0,2768.0,3278.0,84.4,44386.0,15597.0,7.2,78.0,35.0,39.0,54.7,42.0,120.0,82.0,0.0,55.0,49.0,52.9,2022-2023,Napoli,Seria A
1,Alex Meret,it ITA,GK,25,45,45,4080.0,45.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,123.0,87.0,74.0,50.0,20.0,44.4,0.0,0.0,,,,1097.0,1247.0,88.0,24708.0,15048.0,0.0,0.0,0.0,0.0,,0.0,0.0,9.0,2.0,8.0,0.0,100.0,2022-2023,Napoli,Seria A
2,Stanislav Lobotka,sk SVK,MF,27,49,44,4030.0,44.8,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.7,0.7,1.2,0.02,,,,,,,,14.0,4.0,28.6,0.07,23.3,2745.0,2933.0,93.6,44647.0,10912.0,1.6,104.0,54.0,55.0,58.1,28.0,132.0,19.0,1.0,12.0,20.0,37.5,2022-2023,Napoli,Seria A
3,Kim Min-jae,kr KOR,DF,25,45,44,3874.0,43.0,2.0,2.0,4.0,2.0,0.0,0.0,8.0,0.0,1.0,1.0,1.9,0.02,,,,,,,,9.0,3.0,33.3,0.22,7.1,3090.0,3424.0,90.2,55798.0,21024.0,1.2,67.0,31.0,40.0,88.6,63.0,130.0,155.0,1.0,123.0,64.0,65.8,2022-2023,Napoli,Seria A
4,Andre-Frank Zambo Anguissa,cm CMR,MF,26,45,44,3756.0,41.7,4.0,8.0,12.0,4.0,0.0,0.0,5.0,1.0,5.2,5.2,3.9,0.13,,,,,,,,60.0,17.0,28.3,0.07,18.1,2332.0,2666.0,87.5,33304.0,7907.0,3.6,67.0,20.0,42.0,27.8,63.0,130.0,30.0,0.0,55.0,34.0,61.8,2022-2023,Napoli,Seria A
5,Khvicha Kvaratskhelia,ge GEO,FW,21,43,39,3210.0,35.7,14.0,14.0,28.0,11.0,3.0,5.0,1.0,0.0,13.9,9.9,10.0,0.28,,,,,,,,118.0,41.0,34.7,0.09,18.7,1112.0,1424.0,78.1,15848.0,3200.0,8.7,55.0,25.0,33.0,41.7,7.0,62.0,11.0,1.0,13.0,23.0,36.1,2022-2023,Napoli,Seria A
6,Amir Rrahmani,xk KVX,DF,28,36,34,3061.0,34.0,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,2.1,2.1,1.0,0.06,,,,,,,,24.0,4.0,16.7,0.08,12.9,2415.0,2659.0,90.8,48626.0,16919.0,1.0,42.0,22.0,24.0,62.9,16.0,58.0,106.0,2.0,86.0,54.0,61.4,2022-2023,Napoli,Seria A
7,Victor Osimhen,ng NGA,FW,23,39,35,3006.0,33.4,31.0,4.0,35.0,29.0,2.0,4.0,5.0,0.0,26.3,23.1,3.3,0.69,,,,,,,,150.0,61.0,40.7,0.19,12.7,310.0,451.0,68.7,4378.0,691.0,2.1,15.0,4.0,8.0,33.3,7.0,22.0,36.0,0.0,81.0,62.0,56.6,2022-2023,Napoli,Seria A
8,Piotr Zieliński,pl POL,MF,28,48,35,2942.0,32.7,7.0,10.0,17.0,5.0,2.0,3.0,4.0,0.0,7.4,5.1,9.5,0.16,,,,,,,,67.0,27.0,40.3,0.07,22.2,1602.0,1918.0,83.5,23001.0,6584.0,9.5,25.0,12.0,14.0,44.4,18.0,43.0,11.0,1.0,5.0,17.0,22.7,2022-2023,Napoli,Seria A
9,Mathías Olivera,uy URU,DF,24,39,23,2277.0,25.3,2.0,4.0,6.0,2.0,0.0,0.0,3.0,0.0,1.3,1.3,2.8,0.05,,,,,,,,13.0,4.0,30.8,0.15,11.2,1529.0,1776.0,86.1,20885.0,6474.0,2.6,55.0,29.0,36.0,53.7,28.0,82.0,40.0,0.0,42.0,57.0,42.4,2022-2023,Napoli,Seria A
10,Mário Rui,pt POR,DF,31,28,26,2135.0,23.7,0.0,7.0,7.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,4.4,0.04,,,,,,,,17.0,5.0,29.4,0.0,23.1,1660.0,2051.0,80.9,29661.0,10189.0,5.0,40.0,23.0,28.0,46.0,22.0,62.0,28.0,1.0,17.0,36.0,32.1,2022-2023,Napoli,Seria A
11,Hirving Lozano,mx MEX,FW,27,41,24,2072.0,23.0,4.0,4.0,8.0,3.0,1.0,1.0,3.0,0.0,6.7,5.9,5.0,0.26,,,,,,,,53.0,17.0,32.1,0.06,18.1,553.0,746.0,74.1,7901.0,1924.0,4.4,34.0,14.0,19.0,43.8,17.0,51.0,9.0,0.0,10.0,18.0,35.7,2022-2023,Napoli,Seria A
12,Elif Elmas,mk MKD,"FW,MF",22,47,17,1996.0,22.2,6.0,3.0,9.0,5.0,1.0,1.0,6.0,0.0,4.3,3.5,2.1,0.16,,,,,,,,37.0,11.0,29.7,0.14,18.1,1037.0,1187.0,87.4,13945.0,3152.0,2.5,32.0,16.0,16.0,48.5,11.0,43.0,7.0,0.0,5.0,16.0,23.8,2022-2023,Napoli,Seria A
13,Matteo Politano,it ITA,FW,28,37,20,1625.0,18.1,4.0,4.0,8.0,1.0,3.0,4.0,3.0,0.0,5.3,2.2,4.3,0.13,,,,,,,,45.0,10.0,22.2,0.02,20.8,594.0,825.0,72.0,9602.0,3262.0,3.6,27.0,15.0,17.0,50.0,8.0,35.0,13.0,0.0,6.0,9.0,40.0,2022-2023,Napoli,Seria A
14,Tanguy Ndombele,fr FRA,MF,25,40,12,1281.0,14.2,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,1.8,1.8,1.9,0.14,,,,,,,,25.0,6.0,24.0,0.08,20.9,735.0,840.0,87.5,10044.0,2530.0,1.4,22.0,7.0,10.0,58.3,12.0,34.0,8.0,1.0,14.0,6.0,70.0,2022-2023,Napoli,Seria A
15,Juan Jesus,br BRA,DF,31,19,13,1258.0,14.0,2.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,0.2,0.2,0.1,0.02,,,,,,,,6.0,2.0,33.3,0.33,17.3,806.0,893.0,90.3,14514.0,5056.0,0.3,19.0,9.0,14.0,69.2,11.0,30.0,35.0,0.0,31.0,15.0,67.4,2022-2023,Napoli,Seria A
16,Giacomo Raspadori,it ITA,FW,22,33,14,1225.0,13.6,6.0,5.0,11.0,6.0,0.0,0.0,2.0,0.0,4.5,4.5,1.9,0.35,,,,,,,,52.0,21.0,40.4,0.12,16.2,431.0,560.0,77.0,7013.0,1391.0,1.9,14.0,4.0,11.0,36.4,8.0,20.0,5.0,0.0,4.0,8.0,33.3,2022-2023,Napoli,Seria A
17,Giovanni Simeone,ar ARG,FW,27,33,4,789.0,8.8,9.0,1.0,10.0,9.0,0.0,0.0,1.0,0.0,4.2,4.2,1.7,0.56,,,,,,,,37.0,18.0,48.6,0.24,14.7,124.0,173.0,71.7,1605.0,256.0,0.9,15.0,4.0,5.0,40.0,1.0,16.0,6.0,0.0,10.0,26.0,27.8,2022-2023,Napoli,Seria A
18,Leo Skiri Østigård,no NOR,DF,22,11,7,697.0,7.7,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.03,,,,,,,,4.0,1.0,25.0,0.25,18.1,480.0,554.0,86.6,9014.0,3292.0,0.1,7.0,2.0,3.0,66.7,10.0,15.0,31.0,1.0,39.0,12.0,76.5,2022-2023,Napoli,Seria A
19,Pierluigi Gollini,it ITA,GK,27,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,12.0,75.0,,2.0,50.0,0.0,0.0,,,,136.0,159.0,85.5,3405.0,2362.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,,2022-2023,Napoli,Seria A
20,Alessio Zerbin,it ITA,FW,23,14,3,318.0,3.5,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,0.2,0.17,,,,,,,,8.0,5.0,62.5,0.0,21.1,81.0,112.0,72.3,1004.0,197.0,0.2,12.0,4.0,8.0,44.4,2.0,14.0,2.0,0.0,0.0,1.0,0.0,2022-2023,Napoli,Seria A
21,Bartosz Bereszyński,pl POL,"DF,FW",30,4,3,286.0,3.2,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.0,,,,,,,,0.0,0.0,,,,87.0,105.0,82.9,1252.0,420.0,0.1,3.0,2.0,2.0,100.0,4.0,6.0,3.0,0.0,2.0,1.0,66.7,2022-2023,Napoli,Seria A
22,Gianluca Gaetano,it ITA,MF,22,12,1,171.0,1.9,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.1,1.1,0.2,0.97,,,,,,,,7.0,5.0,71.4,0.14,18.3,80.0,98.0,81.6,1105.0,280.0,0.1,5.0,0.0,4.0,,4.0,6.0,0.0,0.0,1.0,0.0,100.0,2022-2023,Napoli,Seria A
23,Diego Demme,de GER,MF,30,7,2,146.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,,181.0,191.0,94.8,3026.0,924.0,0.1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,66.7,2022-2023,Napoli,Seria A
24,Alessandro Zanoli,it ITA,DF,21,3,0,24.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.23,,,,,,,,1.0,1.0,100.0,0.0,13.0,15.0,19.0,78.9,241.0,52.0,0.1,3.0,1.0,2.0,100.0,1.0,4.0,1.0,0.0,1.0,2.0,33.3,2022-2023,Napoli,Seria A
25,Karim Zedadka,fr FRA,FW,22,3,0,20.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,,11.0,16.0,68.8,181.0,15.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,1.0,1.0,50.0,2022-2023,Napoli,Seria A
26,Adam Ounas,dz ALG,FW,25,2,0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,,,,,,,,1.0,0.0,0.0,0.0,27.5,13.0,17.0,76.5,297.0,80.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,1.0,0.0,100.0,2022-2023,Napoli,Seria A
27,Davide Marfella,it ITA,GK,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Napoli,Seria A
28,Valerio Boffelli,it ITA,GK,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Napoli,Seria A
29,Hubert Idasiak,pl POL,GK,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Napoli,Seria A
30,Salvatore Sirigu,it ITA,GK,35,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Napoli,Seria A
0,Ivan Provedel,it ITA,GK,28,45,44,4043.0,44.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,43.0,161.0,118.0,75.2,25.0,22.0,50.0,0.0,0.0,,,,1297.0,1600.0,81.1,34944.0,25016.0,0.1,1.0,0.0,0.0,,0.0,1.0,21.0,3.0,3.0,1.0,75.0,2022-2023,Lazio,Seria A
1,Felipe Anderson,br BRA,FW,29,50,46,3913.0,43.5,12.0,5.0,17.0,12.0,0.0,0.0,4.0,0.0,7.3,7.3,6.7,0.18,,,,,,,,63.0,34.0,54.0,0.19,15.2,1370.0,1771.0,77.4,19043.0,4382.0,6.0,97.0,38.0,62.0,37.3,36.0,133.0,32.0,0.0,18.0,33.0,35.3,2022-2023,Lazio,Seria A
2,Sergej Milinković-Savić,rs SRB,MF,27,47,41,3703.0,41.1,11.0,8.0,19.0,11.0,0.0,0.0,12.0,0.0,8.9,8.9,7.6,0.22,,,,,,,,88.0,31.0,35.2,0.13,17.4,1754.0,2332.0,75.2,27734.0,7513.0,5.9,70.0,31.0,43.0,38.3,32.0,100.0,56.0,0.0,123.0,83.0,59.7,2022-2023,Lazio,Seria A
3,Alessio Romagnoli,it ITA,DF,27,42,40,3509.0,39.0,2.0,0.0,2.0,2.0,0.0,0.0,8.0,0.0,1.5,1.5,0.1,0.04,,,,,,,,18.0,6.0,33.3,0.11,11.8,2031.0,2237.0,90.8,35155.0,14515.0,0.4,40.0,16.0,20.0,59.3,42.0,80.0,116.0,0.0,81.0,47.0,63.3,2022-2023,Lazio,Seria A
4,Mattia Zaccagni,it ITA,FW,27,45,42,3501.0,38.9,10.0,9.0,19.0,9.0,1.0,1.0,13.0,0.0,7.1,6.3,5.3,0.17,,,,,,,,66.0,27.0,40.9,0.14,16.9,1053.0,1319.0,79.8,14008.0,3048.0,4.4,49.0,16.0,35.0,37.2,26.0,75.0,11.0,1.0,16.0,31.0,34.0,2022-2023,Lazio,Seria A
5,Adam Marušić,me MNE,DF,29,44,37,3423.0,38.0,0.0,2.0,2.0,0.0,0.0,0.0,9.0,1.0,0.9,0.9,1.7,0.02,,,,,,,,20.0,8.0,40.0,0.0,23.5,1914.0,2219.0,86.3,29243.0,11488.0,1.7,49.0,32.0,36.0,69.6,44.0,92.0,74.0,1.0,31.0,27.0,53.4,2022-2023,Lazio,Seria A
6,Luis Alberto,es ESP,MF,29,44,35,3110.0,34.6,7.0,8.0,15.0,6.0,1.0,2.0,5.0,0.0,5.2,3.5,8.4,0.11,,,,,,,,57.0,20.0,35.1,0.11,22.6,2034.0,2471.0,82.3,31264.0,10579.0,8.2,55.0,26.0,38.0,33.3,10.0,65.0,5.0,0.0,13.0,16.0,44.8,2022-2023,Lazio,Seria A
7,Nicolò Casale,it ITA,DF,24,37,31,2831.0,31.5,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,0.7,0.7,0.3,0.02,,,,,,,,10.0,3.0,30.0,0.1,11.5,1751.0,1915.0,91.4,31007.0,11268.0,0.6,46.0,24.0,24.0,61.5,18.0,64.0,86.0,2.0,51.0,37.0,58.0,2022-2023,Lazio,Seria A
8,Elseid Hysaj,al ALB,DF,28,43,31,2777.0,30.9,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.2,0.2,1.7,0.01,,,,,,,,5.0,2.0,40.0,0.2,22.9,1669.0,1990.0,83.9,25255.0,9989.0,1.8,49.0,30.0,29.0,55.6,30.0,76.0,51.0,0.0,28.0,28.0,50.0,2022-2023,Lazio,Seria A
9,Ciro Immobile,it ITA,FW,32,38,34,2725.0,30.3,14.0,7.0,21.0,9.0,5.0,6.0,5.0,0.0,16.8,12.2,2.3,0.41,,,,,,,,85.0,33.0,38.8,0.11,14.8,579.0,782.0,74.0,7496.0,1204.0,1.9,14.0,9.0,6.0,69.2,1.0,15.0,20.0,0.0,18.0,42.0,30.0,2022-2023,Lazio,Seria A
10,Danilo Cataldi,it ITA,MF,27,39,33,2533.0,28.1,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.2,0.2,1.5,0.01,,,,,,,,9.0,2.0,22.2,0.0,28.8,1462.0,1679.0,87.1,22665.0,7658.0,2.1,31.0,16.0,21.0,36.4,30.0,60.0,36.0,0.0,3.0,5.0,37.5,2022-2023,Lazio,Seria A
11,Manuel Lazzari,it ITA,DF,28,37,29,2461.0,27.3,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.6,0.6,1.0,0.02,,,,,,,,11.0,3.0,27.3,0.0,18.7,1232.0,1418.0,86.9,17068.0,5880.0,1.1,40.0,24.0,29.0,60.0,26.0,65.0,43.0,1.0,12.0,19.0,38.7,2022-2023,Lazio,Seria A
12,Pedro,es ESP,FW,35,46,22,2432.0,27.0,7.0,4.0,11.0,7.0,0.0,0.0,2.0,0.0,4.9,4.9,3.4,0.19,,,,,,,,54.0,21.0,38.9,0.13,18.2,925.0,1137.0,81.4,12790.0,2575.0,2.9,42.0,17.0,34.0,44.7,7.0,49.0,4.0,1.0,1.0,7.0,12.5,2022-2023,Lazio,Seria A
13,Matías Vecino,uy URU,MF,30,44,23,2292.0,25.5,4.0,1.0,5.0,4.0,0.0,0.0,8.0,0.0,4.6,4.6,1.2,0.19,,,,,,,,40.0,12.0,30.0,0.1,16.0,1133.0,1334.0,84.9,16961.0,4587.0,1.1,59.0,32.0,34.0,47.8,25.0,83.0,46.0,1.0,49.0,30.0,62.0,2022-2023,Lazio,Seria A
