,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,Penalty_Kicks_Made,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG.1,GA,SoTA,Saves,Save%,PK_Save%,CS,CS%,Sh,SoT,SoT%,G/Sh,Dist,Cmp,Att,Cmp%,TotDist,PrgDist,xA,Tkl,Challenges_Tkl,TklW,Tkl%,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Season,Team,Competition
0,Giovanni Di Lorenzo,it ITA,DF,28.0,37,36,3257.0,36.2,3.0,4.0,7.0,3.0,0.0,0.0,2.0,0.0,2.7,2.7,4.7,0.07,,,,,,,,31.0,13.0,41.9,0.1,11.8,2272.0,2687.0,84.6,36646.0,12660.0,4.4,60.0,25.0,29.0,51.0,30.0,90.0,60.0,0.0,41.0,34.0,54.7,2022-2023,Napoli,Serie A
1,Andre-Frank Zambo Anguissa,cm CMR,MF,26.0,36,36,3050.0,33.9,3.0,5.0,8.0,3.0,0.0,0.0,3.0,0.0,4.4,4.4,2.6,0.13,,,,,,,,50.0,15.0,30.0,0.06,18.1,1988.0,2261.0,87.9,28244.0,6636.0,2.4,53.0,16.0,32.0,25.0,49.0,102.0,25.0,0.0,47.0,27.0,63.5,2022-2023,Napoli,Serie A
2,Kim Min-jae,kr KOR,DF,25.0,35,35,3050.0,33.9,2.0,2.0,4.0,2.0,0.0,0.0,5.0,0.0,1.0,1.0,1.9,0.03,,,,,,,,8.0,3.0,37.5,0.25,6.6,2552.0,2812.0,90.8,46165.0,17303.0,0.9,55.0,25.0,30.0,86.2,41.0,96.0,123.0,1.0,91.0,54.0,62.8,2022-2023,Napoli,Serie A
3,Stanislav Lobotka,sk SVK,MF,27.0,38,34,3101.0,34.5,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.6,0.6,1.0,0.02,,,,,,,,11.0,4.0,36.4,0.09,22.3,2163.0,2301.0,94.0,35855.0,8577.0,1.3,83.0,43.0,44.0,58.9,23.0,106.0,16.0,0.0,12.0,17.0,41.4,2022-2023,Napoli,Serie A
4,Alex Meret,it ITA,GK,25.0,34,34,3060.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,91.0,66.0,74.7,50.0,16.0,47.1,0.0,0.0,,,,818.0,931.0,87.9,18824.0,11619.0,0.0,0.0,0.0,0.0,,0.0,0.0,6.0,1.0,4.0,0.0,100.0,2022-2023,Napoli,Serie A
5,Victor Osimhen,ng NGA,FW,23.0,32,30,2566.0,28.5,26.0,4.0,30.0,24.0,2.0,3.0,4.0,0.0,21.3,18.9,2.8,0.66,,,,,,,,132.0,52.0,39.4,0.18,12.8,276.0,400.0,69.0,3890.0,582.0,1.7,10.0,0.0,6.0,0.0,6.0,16.0,29.0,0.0,65.0,54.0,54.6,2022-2023,Napoli,Serie A
6,Khvicha Kvaratskhelia,ge GEO,FW,21.0,34,30,2518.0,28.0,12.0,10.0,22.0,10.0,2.0,2.0,1.0,0.0,8.2,6.6,7.7,0.23,,,,,,,,83.0,30.0,36.1,0.12,19.1,900.0,1136.0,79.2,12766.0,2560.0,6.6,43.0,17.0,23.0,39.5,5.0,48.0,6.0,1.0,8.0,13.0,38.1,2022-2023,Napoli,Serie A
7,Amir Rrahmani,xk KVX,DF,28.0,29,27,2448.0,27.2,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,1.8,1.8,1.0,0.07,,,,,,,,21.0,3.0,14.3,0.1,13.4,1977.0,2167.0,91.2,39821.0,13543.0,0.8,33.0,17.0,18.0,65.4,14.0,47.0,79.0,1.0,67.0,40.0,62.6,2022-2023,Napoli,Serie A
8,Piotr Zieliński,pl POL,MF,28.0,37,27,2287.0,25.4,3.0,8.0,11.0,3.0,0.0,0.0,3.0,0.0,3.5,3.5,7.4,0.14,,,,,,,,53.0,19.0,35.8,0.06,22.4,1300.0,1552.0,83.8,18650.0,5534.0,7.5,17.0,12.0,10.0,48.0,14.0,31.0,7.0,0.0,4.0,13.0,23.5,2022-2023,Napoli,Serie A
9,Mário Rui,pt POR,DF,31.0,22,21,1749.0,19.4,0.0,6.0,6.0,0.0,0.0,0.0,2.0,1.0,0.6,0.6,4.0,0.03,,,,,,,,11.0,4.0,36.4,0.0,21.9,1408.0,1734.0,81.2,25486.0,8770.0,4.4,34.0,20.0,22.0,48.8,15.0,49.0,24.0,1.0,13.0,25.0,34.2,2022-2023,Napoli,Serie A
